ÎÂ¶È£¨¡æ£©,Ñ¹Á¦£¨MPa£©,±öºº,,ÃÝÂÉ,,¿¨É­,,ºÕ°Í,,
40.1,30.3,14.63,0.113,0.441,4.769,7.246,0.07,9.896,0.823,0.388
50.4,30.5,13.452,0.087,0.417,4.514,6.96,0.052,8.813,0.784,0.396
61.6,30.7,11.694,0.069,0.39,4.288,6.475,0.039,8.244,0.793,0.29
70.2,30.4,11.076,0.058,0.369,4.264,6.383,0.032,7.944,0.78,0.27
80.3,30.6,10.033,0.049,0.356,3.978,5.933,0.026,7.226,0.768,0.247
60.1,60.8,13.192,0.103,0.449,4.154,6.38,0.065,8.578,0.813,0.381
70.5,60.7,11.89,0.079,0.43,3.762,5.91,0.049,7.243,0.764,0.41
80.3,60.3,10.685,0.068,0.416,3.55,5.512,0.041,6.837,0.772,0.334
90.9,60.3,9.491,0.057,0.4,3.342,5.099,0.033,6.428,0.781,0.263
100.7,60.4,8.511,0.05,0.395,3.027,4.623,0.029,5.793,0.781,0.23
72.1,80.5,9.014,0.106,0.531,2.368,3.566,0.076,5.309,0.846,0.312
83.2,80.5,8.477,0.083,0.509,2.219,3.492,0.058,4.446,0.781,0.379
91.6,80.8,7.623,0.072,0.504,1.994,3.156,0.049,4.111,0.796,0.298
101,81.1,6.874,0.062,0.49,1.891,2.967,0.042,3.947,0.804,0.244
110.3,80.9,6.037,0.054,0.488,1.682,2.637,0.037,3.505,0.806,0.212
97.7,100,8.825,0.072,0.479,2.413,3.864,0.048,4.81,0.776,0.346
106.5,100,7.997,0.065,0.473,2.253,3.574,0.043,4.503,0.779,0.302
116.7,100.6,7.009,0.057,0.47,2.012,3.172,0.038,4.069,0.788,0.251
128.3,100.5,5.739,0.049,0.483,1.578,2.501,0.033,3.217,0.789,0.214
138.7,100.3,3.874,0.043,0.536,0.955,1.478,0.031,2.084,0.826,0.147
107.5,120.4,11.796,0.073,0.413,3.915,6.101,0.044,7.434,0.761,0.387
118,120.3,10.586,0.066,0.405,3.69,5.643,0.039,7.112,0.782,0.301
130.4,120.5,9.008,0.056,0.402,3.182,4.843,0.033,6.181,0.792,0.239
138.5,120.2,7.276,0.051,0.425,2.431,3.709,0.031,4.903,0.806,0.196
147.6,120.6,6.556,0.047,0.429,2.176,3.32,0.029,4.45,0.817,0.169
120.1,140,8.395,0.074,0.493,2.231,3.559,0.05,4.444,0.779,0.346
127.2,140,7.198,0.068,0.499,1.948,3.05,0.047,4.007,0.799,0.277
138.9,140.2,5.29,0.06,0.528,1.385,2.11,0.043,2.892,0.802,0.234
146.7,139.6,4.457,0.056,0.554,1.069,1.617,0.041,2.418,0.843,0.166
159.6,128,3.913,0.047,0.475,1.441,2.021,0.03,3.12,0.841,0.133
