ÎÂ¶È£¨¡æ£©,Ñ¹Á¦£¨MPa£©,±öºº,,ÃÝÂÉ,,¿¨É­,,ºÕ°Í,,
40.2,30.5,9.113,0.117,0.546,2.343,3.467,0.085,5.254,0.843,0.346
51.8,30.6,7.598,0.09,0.522,2.12,3.131,0.064,4.726,0.844,0.265
60.4,30.2,7.418,0.072,0.497,2.06,3.169,0.049,4.374,0.817,0.258
70.4,30.2,6.753,0.058,0.475,1.957,3.04,0.039,3.999,0.798,0.238
80.4,30.5,6.262,0.049,0.449,1.971,3.021,0.031,4.018,0.804,0.192
57.7,60.1,7.479,0.105,0.547,2.055,2.922,0.077,4.882,0.883,0.239
71.6,61.1,5.716,0.076,0.558,1.407,2.07,0.056,3.257,0.857,0.206
82.1,60.1,4.915,0.063,0.547,1.256,1.852,0.046,2.942,0.865,0.162
91.2,61.1,5.114,0.054,0.486,1.611,2.345,0.036,3.721,0.889,0.117
100.2,60.7,4.804,0.047,0.48,1.476,2.202,0.031,3.312,0.866,0.12
68.2,80.9,7.37,0.105,0.565,1.842,2.664,0.078,4.245,0.862,0.275
80.3,80.7,7.06,0.078,0.526,1.821,2.781,0.056,3.973,0.828,0.259
89.7,80.6,6.402,0.064,0.516,1.633,2.546,0.045,3.537,0.824,0.222
100,80.6,4.993,0.056,0.529,1.278,1.933,0.04,2.88,0.841,0.17
110,80.4,3.986,0.049,0.547,0.978,1.467,0.036,2.242,0.848,0.139
100.5,100.3,6.207,0.067,0.505,1.774,2.64,0.046,4.036,0.86,0.178
108.7,100.3,5.363,0.06,0.502,1.612,2.353,0.041,3.776,0.889,0.131
116,100.6,5.262,0.054,0.485,1.624,2.386,0.036,3.713,0.877,0.127
128.6,100.6,4.148,0.047,0.492,1.317,1.894,0.031,3.11,0.907,0.089
139.2,100.3,3.366,0.043,0.505,1.083,1.516,0.029,2.647,0.931,0.069
111.2,120.5,5.476,0.065,0.547,1.323,2.002,0.048,2.991,0.843,0.197
119.3,121.3,4.619,0.06,0.542,1.223,1.777,0.044,2.905,0.875,0.143
129.4,120.4,3.451,0.053,0.576,0.859,1.206,0.04,2.134,0.895,0.111
136.6,120.7,2.743,0.051,0.597,0.694,0.916,0.039,1.82,0.924,0.085
148.5,120.7,2.332,0.047,0.629,0.528,0.685,0.038,1.377,0.916,0.085
119.4,140.1,7.068,0.076,0.508,1.993,2.998,0.053,4.338,0.833,0.243
129,140.8,6.359,0.067,0.503,1.811,2.719,0.046,3.969,0.84,0.205
140,140.1,5.709,0.059,0.498,1.66,2.476,0.041,3.682,0.847,0.173
149.9,140.8,6.277,0.058,0.493,1.726,2.689,0.039,3.626,0.809,0.22
159.7,140.6,6.883,0.057,0.492,1.764,2.878,0.039,3.451,0.768,0.291
