ÎÂ¶È£¨¡æ£©,Ñ¹Á¦£¨MPa£©,±öºº,,ÃÝÂÉ,,¿¨É­,,ºÕ°Í,,
41.6,30.8,4.12,0.086,0.625,0.981,1.283,0.068,2.37,0.889,0.184
55.3,30.1,3.148,0.057,0.62,0.693,0.978,0.045,1.558,0.859,0.153
67.2,30.6,2.614,0.044,0.618,0.547,0.783,0.035,1.21,0.85,0.124
73.7,30.3,2.819,0.037,0.603,0.526,0.838,0.029,0.985,0.79,0.16
80.9,30.5,2.284,0.034,0.599,0.484,0.722,0.026,1.047,0.837,0.106
58.2,60.5,3.578,0.077,0.643,0.789,1.014,0.062,2.02,0.91,0.144
71.6,61,2.421,0.057,0.686,0.444,0.557,0.048,1.078,0.898,0.116
81.6,60.2,2.514,0.045,0.656,0.438,0.62,0.037,0.967,0.854,0.124
86.8,60.5,2.202,0.041,0.668,0.369,0.516,0.034,0.813,0.859,0.11
100.9,60.8,1.661,0.034,0.656,0.321,0.427,0.028,0.781,0.889,0.073
69.3,80.6,4.335,0.073,0.584,1.108,1.521,0.056,2.746,0.899,0.148
81.9,80.4,4.088,0.056,0.561,1.012,1.474,0.042,2.386,0.867,0.142
91,80.5,3.479,0.046,0.563,0.828,1.23,0.034,1.92,0.855,0.126
99.5,80.4,3.158,0.04,0.54,0.834,1.221,0.029,1.963,0.871,0.099
107.8,80.4,1.945,0.037,0.621,0.436,0.583,0.029,1.111,0.905,0.071
103.3,100.4,2.374,0.046,0.661,0.432,0.582,0.038,1.007,0.874,0.112
107.4,100.9,2.047,0.044,0.681,0.359,0.463,0.037,0.843,0.884,0.099
122.6,100.5,1.421,0.038,0.673,0.316,0.367,0.032,0.863,0.943,0.057
131.8,100,1.506,0.036,0.716,0.233,0.279,0.031,0.515,0.883,0.081
138.3,100.7,1.176,0.034,0.725,0.204,0.222,0.03,0.505,0.918,0.06
103.5,120.3,3.361,0.053,0.607,0.712,1.018,0.042,1.701,0.874,0.129
117.4,121,2.839,0.044,0.581,0.692,0.97,0.034,1.695,0.885,0.099
128.5,120.5,2.535,0.041,0.567,0.685,0.929,0.03,1.759,0.92,0.071
140.8,120.9,2.658,0.035,0.539,0.715,1.026,0.025,1.732,0.889,0.075
147.5,120.5,2.511,0.033,0.544,0.658,0.946,0.024,1.609,0.894,0.069
119.8,140.7,2.803,0.054,0.661,0.507,0.702,0.045,1.071,0.854,0.15
130.9,140.6,2.186,0.049,0.681,0.398,0.504,0.041,0.938,0.888,0.107
140.9,140.6,2.212,0.044,0.672,0.385,0.518,0.037,0.871,0.874,0.107
150.7,140.7,2.083,0.039,0.651,0.389,0.535,0.032,0.878,0.862,0.102
160.6,140.3,1.877,0.035,0.628,0.399,0.543,0.028,0.961,0.881,0.079
